Use,Number of Spaces
Mini-Warehouse,1 per 25 storage units
Motor Vehicle Dealership,"2 per 1,000sf of indoor display area + 3 per 1,000sf of office area"
Motor Vehicle Operations Facility,"1 per 3,000sf GFA"
Motor Vehicle Rental Establishment,"1 per 1,000sf of public waiting area + 3 per 1,000sf of office area"
Motor Vehicle Service and Repair,3 per bay
Nursing Home,".5 per room + 2 per 1,000sf GFA of office"
Office,"3 per 1,000sf GFA"
Outdoor Entertainment,"2 per 1,000sf of public use area"
Outdoor Recreation,"2 per 1,000sf of public use area"
Outdoor Storage Yard,"3 per 1,000sf GFA of office & public use area, or, in the event no office & public  use area exists, 1 per every 2 employees"
Passenger Terminal,"5 per 1,000sf GFA of terminal building"
Penal and Correctional Institutions,1 per 15 inmates of rated inmate capacity
Personal Services Establishment,"3 per 1,000sf GFA"
"Pet ""Day Care"" Service","2 per 1,000sf GFA"
Place of Worship,"5 per 1,000sf GFA"
Recycling Center,"2 per 1,000sf GFA of manufacturing area and office"
Research and Development Facility,"3 per 1,000sf GFA"
Restaurant,1 per 150sf + 4 stacking spaces per bay + 1/employee
Retail Sales Establishment,"3 per 1,000sf GFA"
Riding Academy,1 per 4 stalls
Sawmill,"3 per 1,000sf of office area"
Shopping Center,"Less than 500,000sf GFA: 1 per 500sf of gross leasable area  500,000sf or more GFA: 1 per 250sf of gross leasable area"
Slaughterhouse,"3 per 1,000sf of office area"
Social Club or Lodge,"3 per 1,000sf GFA"
Solar Farm,"3 per 1,000sf of office area"
Sports Club,"2 per 1,000sf of public use area"
Sports Stadium (Indoor or Outdoor),1 per 4 seats
Stable,1 per 4 stalls
Stockyard,"3 per 1,000sf of office area"
Tattoo/Body Piercing Studio,"3 per 1,000sf GFA"
Tavern/Bar,1 per 200sf + 1/employee
Truck Stop,"1 truck space per 5,000sf GFA  Additional uses within the truck stop (retail, recreational facilities, etc.): Cumulative  - determined by sum of requirements for each uses within development"
Vineyard/Winery,"3 per 1,000sf GFA of tasting room area  Additional uses within the winery (restaurant, retail, etc.): Cumulative - determined  by sum of requirements for each uses within development"
Warehouse/Distribution,"1 per 20,000sf GFA of warehouse space + 3 per 1,000sf GFA of office space"
Wind Farm,"3 per 1,000sf of office area"
